City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,80.91,80,99,10.85,light rain
1,New Norfolk,AU,-42.7826,147.0587,43.92,87,23,1.01,few clouds
2,Torbay,CA,47.6666,-52.7314,63.37,34,20,6.91,few clouds
3,Albany,US,42.6001,-73.9662,91.67,54,0,5.01,clear sky
4,Lompoc,US,34.6391,-120.4579,76.78,58,0,12.66,clear sky
5,Ushuaia,AR,-54.8,-68.3,42.46,70,0,6.91,clear sky
6,Hermanus,ZA,-34.4187,19.2345,57.74,76,37,5.39,scattered clouds
7,Qaanaaq,GL,77.484,-69.3632,19.78,80,100,2.55,overcast clouds
8,Ponta Do Sol,PT,32.6667,-17.1,70.43,82,22,2.42,few clouds
9,Jamestown,US,42.097,-79.2353,83.84,57,0,12.66,clear sky
10,Rikitea,PF,-23.1203,-134.9692,75.22,74,10,6.8,clear sky
11,Caravelas,BR,-17.7125,-39.2481,75.29,63,2,8.57,clear sky
12,Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,80,5.99,broken clouds
13,San Patricio,US,28.017,-97.5169,98.19,51,1,20.15,clear sky
14,Ponta Delgada,PT,37.7333,-25.6667,65.12,100,100,5.75,fog
15,Kitimat,CA,54.0524,-128.6534,65.91,46,1,1.05,clear sky
16,Manaus,BR,-3.1019,-60.025,84.7,65,75,4.61,broken clouds
17,Berdigestyakh,RU,62.0989,126.6992,40.23,78,8,2.01,clear sky
18,Mataura,NZ,-46.1927,168.8643,45.7,96,100,9.8,overcast clouds
19,Yellowknife,CA,62.456,-114.3525,55.92,50,75,10.36,broken clouds
20,Punta Arenas,CL,-53.15,-70.9167,42.91,70,0,14.97,clear sky
21,Port Alfred,ZA,-33.5906,26.891,58.98,75,38,3.71,scattered clouds
22,Dikson,RU,73.5069,80.5464,25.74,96,98,7.87,overcast clouds
23,Fairbanks,US,64.8378,-147.7164,68.59,33,0,4.61,clear sky
24,Port Elizabeth,ZA,-33.918,25.5701,57.49,82,0,6.91,clear sky
25,Muros,ES,42.7762,-9.0603,70.68,89,100,4.47,moderate rain
26,Piacabucu,BR,-10.4056,-36.4344,77.61,79,55,14.47,broken clouds
27,Katsuura,JP,35.1333,140.3,61.57,94,100,14.23,overcast clouds
28,Lewiston,US,44.1003,-70.2148,78.04,77,20,4.61,few clouds
29,Ribeira Grande,PT,38.5167,-28.7,64.8,100,100,5.75,light intensity drizzle
30,Lavrentiya,RU,65.5833,-171.0,36.97,91,73,8.01,broken clouds
31,Gat,IL,31.61,34.7642,79.39,100,95,9.51,overcast clouds
32,Gympie,AU,-26.1898,152.665,61.18,98,100,4.43,overcast clouds
33,Tiksi,RU,71.6872,128.8694,24.71,100,100,2.89,overcast clouds
34,Thanatpin,MM,17.2119,96.3033,78.98,95,100,6.62,light rain
35,Lata,PT,40.1629,-8.3327,61.45,92,27,1.36,scattered clouds
36,Flic En Flac,MU,-20.2742,57.3631,75.76,71,0,11.23,clear sky
37,Kapaa,US,22.0752,-159.319,80.58,93,20,6.91,few clouds
38,Wewak,PG,-3.5534,143.6268,77.65,88,81,5.84,broken clouds
39,Palmer,US,42.1584,-72.3287,91.65,53,20,8.05,few clouds
40,Komsomolskiy,UZ,40.4272,71.7189,66.92,68,75,11.5,broken clouds
41,Icatu,BR,-2.7758,-44.0658,86.43,89,97,3.02,light rain
42,Mahebourg,MU,-20.4081,57.7,75.49,73,40,8.05,scattered clouds
43,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,69,100,9.22,overcast clouds
44,Tocopilla,CL,-22.092,-70.1979,68.74,64,96,8.61,overcast clouds
45,Chokurdakh,RU,70.6333,147.9167,33.4,100,100,3.87,overcast clouds
46,Busselton,AU,-33.65,115.3333,59.32,77,0,10.09,clear sky
47,Lumberton,US,34.6182,-79.0086,91.71,41,94,12.19,overcast clouds
48,Nyurba,RU,63.2842,118.3319,46.13,86,97,2.86,overcast clouds
49,Necochea,AR,-38.5473,-58.7368,56.34,67,100,7.87,overcast clouds
50,Kavieng,PG,-2.5744,150.7967,82.06,71,100,11.12,overcast clouds
51,Mar Del Plata,AR,-38.0023,-57.5575,64.42,70,0,8.05,clear sky
52,Kodiak,US,57.79,-152.4072,47.71,76,100,26.46,overcast clouds
53,Bluff,NZ,-46.6,168.3333,50.77,78,100,26.91,overcast clouds
54,Hilo,US,19.7297,-155.09,78.53,76,100,1.99,overcast clouds
55,Makakilo City,US,21.3469,-158.0858,81.01,72,0,8.05,clear sky
56,Cherskiy,RU,68.75,161.3,52.61,51,36,14.67,scattered clouds
57,Niteroi,BR,-22.8833,-43.1036,73.02,70,20,11.5,few clouds
58,Auki,SB,-8.7676,160.7034,76.68,85,9,3.33,clear sky
59,Saskylakh,RU,71.9167,114.0833,27.25,98,93,6.15,overcast clouds
60,Atuona,PF,-9.8,-139.0333,77.86,76,15,11.5,few clouds
61,Stornoway,GB,58.2093,-6.3865,52.03,87,40,16.11,scattered clouds
62,Esperance,AU,-33.8667,121.9,57.04,70,67,12.08,broken clouds
63,Nikolskoye,RU,59.7035,30.7861,48.09,60,4,8.19,clear sky
64,Ostrovnoy,RU,68.0531,39.5131,29.8,75,10,8.1,clear sky
65,Clyde River,CA,70.4692,-68.5914,23.23,86,100,9.22,overcast clouds
66,Saint-Philippe,RE,-21.3585,55.7679,69.39,79,99,10.71,overcast clouds
67,Kruisfontein,ZA,-34.0033,24.7314,53.89,85,4,5.73,clear sky
68,Husavik,IS,66.0449,-17.3389,41.2,98,100,11.18,overcast clouds
69,Krasnoselkup,RU,65.7,82.4667,44.47,76,65,9.42,broken clouds
70,Bredasdorp,ZA,-34.5322,20.0403,53.04,84,9,5.08,clear sky
71,Grand Gaube,MU,-20.0064,57.6608,75.6,77,0,17.87,clear sky
72,Cape Town,ZA,-33.9258,18.4232,58.12,80,0,3.44,clear sky
73,Fomboni,KM,-12.28,43.7425,80.6,70,8,7.23,clear sky
74,Nemuro,JP,43.3236,145.575,48.85,99,100,11.45,overcast clouds
75,Saint George,US,37.1041,-113.5841,77.79,11,0,5.75,clear sky
76,Evensk,RU,61.95,159.2333,38.59,95,100,3.74,overcast clouds
77,North Royalton,US,41.3137,-81.7246,87.19,69,75,11.5,thunderstorm
78,Georgetown,MY,5.4112,100.3354,82.33,88,20,2.3,few clouds
79,Nome,US,64.5011,-165.4064,53.17,50,0,18.41,clear sky
80,Alice Springs,AU,-23.7,133.8833,40.55,65,6,0.0,clear sky
81,Leningradskiy,RU,69.3833,178.4167,32.74,97,97,9.98,overcast clouds
82,Khatanga,RU,71.9667,102.5,35.06,98,99,5.57,overcast clouds
83,Ahuimanu,US,21.4447,-157.8378,82.2,75,75,8.05,broken clouds
84,Vaini,TO,-21.2,-175.2,71.76,94,75,4.61,broken clouds
85,Lisakovsk,KZ,52.5369,62.4936,45.95,72,100,6.82,overcast clouds
86,Askino,RU,56.0901,56.5783,37.17,82,100,5.41,overcast clouds
87,Avarua,CK,-21.2078,-159.775,77.05,78,40,2.3,scattered clouds
88,Kralendijk,BQ,12.15,-68.2667,85.98,66,75,18.41,broken clouds
89,Yenagoa,NG,4.9247,6.2642,75.76,94,100,4.03,overcast clouds
90,Sergeyevka,KZ,53.88,67.4158,49.64,86,100,15.82,moderate rain
91,Nogales,MX,31.3086,-110.9422,84.33,11,0,16.11,clear sky
92,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,38,0,18.41,clear sky
93,San Jose,US,37.3394,-121.895,86.49,24,20,8.99,few clouds
94,Slatina,RO,44.4333,24.3667,75.51,65,72,10.09,broken clouds
95,Airai,TL,-8.9266,125.4092,57.56,90,28,3.67,scattered clouds
96,Umm Kaddadah,SD,13.6017,26.6876,85.84,12,100,11.03,overcast clouds
97,Marathon,US,44.9,-89.7668,60.44,50,20,9.22,few clouds
98,Severo-Kurilsk,RU,50.6789,156.125,42.01,95,97,2.04,overcast clouds
99,La Ronge,CA,55.1001,-105.2842,55.65,21,40,10.36,scattered clouds
100,Guerrero Negro,MX,27.9769,-114.0611,72.36,49,5,11.59,clear sky
101,Sorong,ID,-0.8833,131.25,80.11,80,84,4.25,broken clouds
102,Pevek,RU,69.7008,170.3133,34.27,90,100,5.1,overcast clouds
103,San Policarpo,PH,12.1791,125.5072,80.02,84,100,8.97,overcast clouds
104,Hobart,AU,-42.8794,147.3294,44.26,89,75,11.5,broken clouds
105,Kavaratti,IN,10.5669,72.642,83.53,78,94,17.47,overcast clouds
106,Provideniya,RU,64.3833,-173.3,50.99,49,98,10.65,overcast clouds
107,Santa Cruz,BO,-17.8,-63.1667,80.06,44,20,19.57,few clouds
108,Longyearbyen,SJ,78.2186,15.6401,37.24,70,75,6.91,broken clouds
109,Bonthe,SL,7.5264,-12.505,75.97,88,88,8.48,overcast clouds
110,Marzuq,YE,14.4,46.4667,78.69,26,24,2.82,few clouds
111,East London,ZA,-33.0153,27.9116,60.42,76,63,3.02,broken clouds
112,Saint-Georges,GD,12.0564,-61.7485,87.48,58,20,19.57,few clouds
113,Johnstown,US,40.3267,-78.922,90.46,44,75,6.91,broken clouds
114,Vostok,RU,46.4856,135.8833,49.06,96,87,3.13,overcast clouds
115,Christchurch,NZ,-43.5333,172.6333,39.42,89,55,2.3,broken clouds
116,Buturlino,RU,55.5667,44.8974,36.52,79,35,3.62,scattered clouds
117,Vao,NC,-22.6667,167.4833,74.14,87,90,25.61,overcast clouds
118,Zyryanka,RU,65.75,150.85,46.67,79,100,9.33,overcast clouds
119,Chipinge,ZW,-20.1883,32.6236,57.52,94,28,2.19,light rain
120,Brigantine,US,39.4101,-74.3646,95.2,65,0,12.66,clear sky
121,Ngunguru,NZ,-35.6167,174.5,57.16,85,99,9.17,overcast clouds
122,Lebu,CL,-37.6167,-73.65,55.29,81,94,8.48,overcast clouds
123,Carnarvon,AU,-24.8667,113.6333,71.17,64,100,7.47,overcast clouds
124,Tasiilaq,GL,65.6145,-37.6368,37.56,72,100,4.88,overcast clouds
125,Hereford,GB,52.0568,-2.7148,56.73,87,61,5.12,broken clouds
126,Tavricheskoye,RU,54.5851,73.6395,73.31,27,32,18.77,scattered clouds
127,Sisimiut,GL,66.9395,-53.6735,38.25,66,100,4.43,overcast clouds
128,Misratah,LY,32.3754,15.0925,67.64,52,0,5.79,clear sky
129,Baiyin,CN,36.5583,104.2081,59.9,54,15,2.15,few clouds
130,Talnakh,RU,69.4865,88.3972,42.21,100,100,2.17,overcast clouds
131,Murgab,TM,37.4966,61.9714,60.67,77,100,4.61,light intensity shower rain
132,Veraval,IN,20.9,70.3667,82.89,79,31,19.82,scattered clouds
133,Port Hardy,CA,50.6996,-127.4199,50.18,87,20,4.61,few clouds
134,Oltu,TR,40.5498,42.0013,50.61,62,0,3.89,clear sky
135,Fortuna,US,40.5982,-124.1573,62.92,70,20,11.5,few clouds
136,Arman,RU,59.7,150.1667,39.02,95,100,3.22,overcast clouds
137,Lieksa,FI,63.3167,30.0167,40.14,67,8,6.55,clear sky
138,Kieta,PG,-6.2167,155.6333,78.28,84,18,0.98,few clouds
139,Zheleznodorozhnyy,RU,55.7503,38.0042,52.02,67,82,9.37,broken clouds
140,Yar-Sale,RU,66.8333,70.8333,30.83,81,100,13.44,overcast clouds
141,Vestmannaeyjar,IS,63.4427,-20.2734,49.91,84,99,8.01,overcast clouds
142,Castro,BR,-24.7911,-50.0119,57.7,61,7,3.58,clear sky
143,Lucan,IE,53.3592,-6.4389,59.95,71,75,13.8,broken clouds
144,Grindavik,IS,63.8424,-22.4338,53.55,76,20,23.02,few clouds
145,Mount Gambier,AU,-37.8333,140.7667,44.37,93,6,4.83,clear sky
146,Flinders,AU,-34.5833,150.8552,55.18,93,100,4.0,overcast clouds
147,Katherine,AU,-14.4667,132.2667,68.32,56,52,5.75,broken clouds
148,Te Anau,NZ,-45.4167,167.7167,44.62,90,96,5.17,overcast clouds
149,Tambovka,RU,50.0969,128.0489,46.31,74,100,6.13,overcast clouds
150,Bethel,US,41.3712,-73.414,95.18,60,0,4.61,clear sky
151,Pontianak,ID,-0.0333,109.3333,76.98,100,100,3.44,overcast clouds
152,Narrabri,AU,-30.3167,149.7833,54.52,88,100,5.01,overcast clouds
153,Svetlaya,RU,46.5389,138.3297,46.38,98,100,3.8,overcast clouds
154,Excelsior Springs,US,39.3392,-94.2261,60.67,55,100,14.97,overcast clouds
155,Pasighat,IN,28.0667,95.3333,71.11,94,70,2.98,broken clouds
156,Bengkulu,ID,-3.8004,102.2655,76.01,91,98,4.59,overcast clouds
157,Lenoir,US,35.2335,-77.6497,93.09,54,40,9.22,scattered clouds
158,Sheregesh,RU,52.9209,87.9869,53.01,64,16,4.54,few clouds
159,Coquimbo,CL,-29.9533,-71.3436,62.33,77,0,11.5,clear sky
160,Kosonsoy,UZ,41.2561,71.5508,61.36,66,100,4.68,overcast clouds
161,Upernavik,GL,72.7868,-56.1549,30.49,76,100,5.75,overcast clouds
162,Yulara,AU,-25.2406,130.9889,50.72,53,11,9.37,few clouds
163,Chernyshkovskiy,RU,48.4219,42.2308,56.03,95,100,13.82,overcast clouds
164,Moranbah,AU,-22.0016,148.0466,60.93,91,100,16.08,overcast clouds
165,Mahajanga,MG,-15.7167,46.3167,77.02,65,20,8.05,few clouds
166,Jardim,BR,-21.4803,-56.1381,74.07,42,11,0.69,few clouds
167,Imeni Poliny Osipenko,RU,52.4201,136.4853,37.02,87,96,13.98,overcast clouds
168,Roswell,US,34.0232,-84.3616,89.38,49,100,9.22,overcast clouds
169,Havoysund,NO,70.9963,24.6622,44.83,77,32,2.1,scattered clouds
170,Sur,OM,22.5667,59.5289,90.75,51,2,12.93,clear sky
171,Cabo San Lucas,MX,22.8909,-109.9124,85.6,50,0,13.8,clear sky
172,Eyl,SO,7.9803,49.8164,83.62,69,88,16.89,overcast clouds
173,Saldanha,ZA,-33.0117,17.9442,51.85,78,35,7.0,scattered clouds
174,Gushikawa,JP,26.3544,127.8686,70.83,94,0,0.0,clear sky
175,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,68,20,11.5,few clouds
176,Petrolina,BR,-9.3986,-40.5008,80.65,61,75,10.36,light rain
177,Toluviejo,CO,9.4508,-75.4386,87.67,64,99,5.06,overcast clouds
178,Bubaque,GW,11.2833,-15.8333,78.98,79,100,18.7,overcast clouds
179,Winburg,ZA,-28.518,27.0093,48.38,82,80,7.43,broken clouds
180,Cap Malheureux,MU,-19.9842,57.6142,72.46,77,0,1.01,clear sky
181,Seddon,AU,-37.8068,144.8916,50.83,94,100,6.91,overcast clouds
182,Altayskoye,RU,51.9533,85.3325,58.96,64,100,5.93,overcast clouds
183,Polunochnoye,RU,60.8697,60.4153,33.75,97,100,8.34,light snow
184,Simi,SL,9.5667,-12.35,77.67,86,100,5.97,light rain
185,Saint-Pierre,RE,-21.3393,55.4781,69.91,83,40,4.61,scattered clouds
186,Grand-Lahou,CI,5.1367,-5.0242,77.41,89,99,13.6,moderate rain
187,Kommunisticheskiy,RU,61.6789,64.4819,36.63,96,100,11.21,light rain
188,Puerto Escondido,MX,15.85,-97.0667,87.75,52,84,10.94,broken clouds
189,Mount Isa,AU,-20.7333,139.5,60.57,77,10,0.0,clear sky
190,Anloga,GH,5.7947,0.8973,77.74,91,100,16.87,light rain
191,Taoudenni,ML,22.6783,-3.9836,97.83,6,4,12.48,clear sky
192,Coihaique,CL,-45.5752,-72.0662,40.95,87,100,4.61,overcast clouds
193,Ust-Maya,RU,60.4167,134.5333,35.91,78,8,2.66,clear sky
194,Burla,IN,21.5,83.8667,89.1,43,78,14.92,broken clouds
195,Guaranda,EC,-1.6,-79.0,58.98,94,78,4.92,moderate rain
196,Amuntai,ID,-2.4177,115.2494,74.12,97,100,1.3,overcast clouds
197,Maniwaki,CA,46.3834,-75.966,77.38,53,100,8.05,overcast clouds
198,Lubango,AO,-14.9172,13.4925,56.08,32,4,3.11,clear sky
199,Balkanabat,TM,39.5108,54.3671,63.3,43,0,7.31,clear sky
200,Sungaipenuh,ID,-2.0833,101.3833,64.8,98,100,1.25,overcast clouds
201,Kamenka,RU,51.3223,42.7678,48.81,53,100,8.46,overcast clouds
202,Heilbron,ZA,-27.2812,27.9709,47.21,87,49,11.65,scattered clouds
203,Mawlaik,MM,23.6333,94.4167,73.99,91,98,1.07,overcast clouds
204,Kaitangata,NZ,-46.2817,169.8464,48.15,89,100,15.77,overcast clouds
205,San Cristobal,VE,7.7669,-72.225,78.98,45,91,8.19,overcast clouds
206,Narsaq,GL,60.9167,-46.05,52.02,60,4,8.68,clear sky
207,Krasnokamensk,RU,50.0979,118.0369,52.81,35,83,6.17,broken clouds
208,Richards Bay,ZA,-28.783,32.0377,62.92,87,100,13.67,light rain
209,Saint-Joseph,RE,-21.3667,55.6167,68.38,78,56,11.79,broken clouds
210,Harper,LR,4.375,-7.7169,77.83,82,100,10.13,light rain
211,Lima,PE,-12.0432,-77.0282,65.39,69,100,8.05,overcast clouds
212,Guangyuan,CN,32.442,105.823,64.04,93,100,1.23,moderate rain
213,Dingle,PH,10.9995,122.6711,75.7,92,91,2.48,overcast clouds
214,Dok Kham Tai,TH,19.1624,99.9934,71.87,99,100,2.53,overcast clouds
215,Kadyy,RU,57.787,43.1903,32.14,78,36,5.37,scattered clouds
216,Geraldton,AU,-28.7667,114.6,55.81,94,40,9.22,scattered clouds
217,Terney,RU,45.0503,136.6092,50.09,98,98,2.39,overcast clouds
218,Naze,JP,28.3667,129.4833,68.92,83,46,10.4,scattered clouds
219,Coxim,BR,-18.5067,-54.76,81.18,23,57,3.62,broken clouds
220,Pacific Grove,US,36.6177,-121.9166,73.35,76,0,6.91,haze
221,Hofn,IS,64.2539,-15.2082,48.83,84,100,9.01,overcast clouds
222,Maarianhamina,AX,60.0973,19.9348,44.46,70,0,2.3,clear sky
223,Sitka,US,57.0531,-135.33,58.89,44,0,0.0,clear sky
224,Kaohsiung,TW,22.6163,120.3133,79.03,86,75,2.3,broken clouds
225,Benemerito De Las Americas,MX,16.5167,-90.6439,105.51,26,24,3.6,few clouds
